filename,original_location,size_mb
Subjects_Tracking_Error.mat,data_processing\Group_Level_PostProcessing\Final_paper_plot_generation\Tracking_error_across_cycle\Subjects_Tracking_Error.mat,21.16
All_scores_trackErr.mat,data_processing\Group_Level_PostProcessing\Final_paper_plot_generation\_NHB\Supplementary_section\All_scores_trackErr.mat,15.03
Subjects_Force_Angle.mat,data_processing\Group_Level_PostProcessing\Final_paper_plot_generation\PAM_engagement_moments\Subjects_Force_Angle.mat,10.15
Subjects_Force_Angle_warped.mat,data_processing\Group_Level_PostProcessing\Final_paper_plot_generation\PAM_engagement_moments\Subjects_Force_Angle_warped.mat,5.93
EEG_features_wholeBrain.mat,data_processing\Group_Level_PostProcessing\Final_paper_plot_generation\_NHB\manual_TF_outlier_removal\EEG_features_wholeBrain.mat,1.95
EEG_features.mat,data_processing\Group_Level_PostProcessing\Final_paper_plot_generation\_NHB\manual_TF_outlier_removal\EEG_features.mat,0.83
behavior_table.mat,data_processing\Group_Level_PostProcessing\Final_paper_plot_generation\_NHB\behavioural_results\behavior_table.mat,0.20
Subjective_Scores.mat,data_processing\Group_Level_PostProcessing\Final_paper_plot_generation\Behavioral_results\Subjective_Scores.mat,0.07
Tracking_Errors.mat,data_processing\Group_Level_PostProcessing\Final_paper_plot_generation\Behavioral_results\Tracking_Errors.mat,0.07
Subjects_ICs_in_clusters.mat,data_processing\Group_Level_PostProcessing\Final_paper_plot_generation\Detailed_Analysis_on_TF_regions\extracting Subjects and ICs in the brain clusters\Subjects_ICs_in_clusters.mat,0.03
stats.mat,data_processing\Group_Level_PostProcessing\Final_paper_plot_generation\_NHB\manual_TF_outlier_removal\stats.mat,0.02
